"Country","Month","Total Passengers"
"Haiti","1/3/2021","38519"
"Cayman Islands","1/3/2021","1485"
"Switzerland","1/3/2021","6017"
"Guatemala","1/3/2021","74455"
"Colombia","1/3/2021","187278"
"Japan","1/3/2021","39160"
"Brazil","1/3/2021","33246"
"Peru","1/3/2021","44588"
"United Kingdom","1/3/2021","44970"
"Turkey","1/3/2021","92996"
"Italy","1/3/2021","6751"
"Aruba","1/3/2021","82531"
"Netherlands","1/3/2021","41748"
"South Korea","1/3/2021","42372"
"Atlantic Ocean","1/3/2021","6049"
"Argentina","1/3/2021","28303"
"France","1/3/2021","43861"
"Haiti","1/2/2021","23656"
"El Salvador","1/2/2021","69338"
"Jamaica","1/2/2021","93901"
"Costa Rica","1/2/2021","89426"
"Bahamas","1/2/2021","38832"
"Mexico","1/2/2021","1050441"
"Honduras","1/2/2021","36953"
"Dominican Republic","1/2/2021","316195"
"Antilles","1/2/2021","18667"
"Australia","1/2/2021","4146"
"Germany","1/2/2021","56764"
"Colombia","1/2/2021","115182"
"Ireland","1/2/2021","3855"
"Ecuador","1/2/2021","47707"
"Guatemala","1/2/2021","43056"
"Canada","1/2/2021","61472"
"Brazil","1/2/2021","35950"
"Philippines","1/2/2021","11285"
"Switzerland","1/2/2021","3800"
"Israel","1/2/2021","6174"
"Iceland","1/2/2021","625"
"Cayman Islands","1/2/2021","1161"
"Belgium","1/2/2021","9132"
"Denmark","1/2/2021","1738"
"Russia","1/2/2021","13793"
"New Zealand","1/2/2021","2484"
"China","1/2/2021","9625"
"Trinidad and Tobago","1/2/2021","746"
"Taiwan","1/2/2021","7805"
"Spain","1/2/2021","5466"
"Italy","1/2/2021","4458"
"Japan","1/2/2021","26980"
"Panama","1/2/2021","66810"
"France","1/2/2021","33489"
"United Arab Emirates","1/2/2021","45245"
"United Kingdom","1/2/2021","34736"
"South Korea","1/2/2021","41310"
"Chile","1/2/2021","27934"
"Turkey","1/2/2021","67480"
"Peru","1/2/2021","26244"
"Netherlands","1/2/2021","28669"
"Argentina","1/2/2021","24314"
"Hong Kong","1/2/2021","2670"
"Atlantic Ocean","1/2/2021","3192"
"Aruba","1/2/2021","55651"
"Hong Kong","1/1/2021","4897"
"South Korea","1/1/2021","63587"
"Honduras","1/1/2021","47618"
"Costa Rica","1/1/2021","124940"
"El Salvador","1/1/2021","106127"
"Australia","1/1/2021","5253"
"Switzerland","1/1/2021","15122"
"Atlantic Ocean","1/1/2021","4912"
"Netherlands","1/1/2021","64173"
"Haiti","1/1/2021","61709"
"Brazil","1/1/2021","64132"
"Dominican Republic","1/1/2021","446706"
"Canada","1/1/2021","151676"
"Aruba","1/1/2021","62879"
"Jamaica","1/1/2021","123401"
"Guatemala","1/1/2021","66872"
"Antilles","1/1/2021","25651"
"Ecuador","1/1/2021","54859"
"Bahamas","1/1/2021","40934"
"Cayman Islands","1/1/2021","1301"
"Mexico","1/1/2021","1560950"
"Colombia","1/1/2021","187466"
"Denmark","1/1/2021","3806"
"Belgium","1/1/2021","14013"
"Israel","1/1/2021","19728"
"Taiwan","1/1/2021","15827"
"Spain","1/1/2021","10980"
"Trinidad and Tobago","1/1/2021","1148"
"Philippines","1/1/2021","11596"
"Turkey","1/1/2021","86070"
"New Zealand","1/1/2021","2688"
"Peru","1/1/2021","48129"
"United Kingdom","1/1/2021","72103"
"Italy","1/1/2021","5220"
"Argentina","1/1/2021","35069"
"France","1/1/2021","101685"
"Japan","1/1/2021","45420"
"Germany","1/1/2021","95397"
"China","1/1/2021","12825"
"Ireland","1/1/2021","10953"
"Iceland","1/1/2021","1321"
"United Arab Emirates","1/1/2021","49659"
"Panama","1/1/2021","95263"
"Russia","1/1/2021","17027"
"Chile","1/1/2021","35308"
"Panama","1/12/2020","18495"
"Chile","1/12/2020","34869"
"Antilles","1/12/2020","23757"
"South Korea","1/12/2020","58817"
"Japan","1/12/2020","51135"
"Turkey","1/12/2020","86412"
"Peru","1/12/2020","55406"
"United Kingdom","1/12/2020","101439"
"Spain","1/12/2020","11253"
"Iceland","1/12/2020","1454"
"Switzerland","1/12/2020","10734"
"United Arab Emirates","1/12/2020","50134"
"Ireland","1/12/2020","15635"
"Brazil","1/12/2020","62902"
"Dominican Republic","1/12/2020","439471"
"El Salvador","1/12/2020","114738"
"Hong Kong","1/12/2020","5240"
"Canada","1/12/2020","179449"
"Philippines","1/12/2020","16864"
"Haiti","1/12/2020","66824"
"Guatemala","1/12/2020","73558"
"Colombia","1/12/2020","206845"
"Ecuador","1/12/2020","67199"
"Jamaica","1/12/2020","144491"
"Costa Rica","1/12/2020","115250"
"Bahamas","1/12/2020","38687"
"Mexico","1/12/2020","1773507"
"Argentina","1/12/2020","33351"
"Germany","1/12/2020","93618"
"Italy","1/12/2020","4462"
"France","1/12/2020","59435"
"Netherlands","1/12/2020","83023"
"Aruba","1/12/2020","64964"
"Atlantic Ocean","1/12/2020","6227"
"Taiwan","1/12/2020","15833"
"Trinidad and Tobago","1/12/2020","1247"
"New Zealand","1/12/2020","3299"
"Cayman Islands","1/12/2020","1333"
"Australia","1/12/2020","5602"
"Honduras","1/12/2020","34380"
"Belgium","1/12/2020","14326"
