"Country","Month","Total Passengers"
"Ecuador","1/9/2012","70743"
"United Kingdom","1/9/2012","1561591"
"Colombia","1/9/2012","197566"
"Ireland","1/9/2012","185406"
"Costa Rica","1/9/2012","119087"
"Belgium","1/9/2012","89096"
"Cayman Islands","1/9/2012","31411"
"France","1/9/2012","600201"
"Panama","1/9/2012","166916"
"Dominican Republic","1/9/2012","326937"
"Denmark","1/9/2012","42947"
"Russia","1/9/2012","72637"
"China","1/9/2012","322820"
"Argentina","1/9/2012","109549"
"Taiwan","1/9/2012","127810"
"El Salvador","1/9/2012","99438"
"Haiti","1/9/2012","77255"
"Australia","1/9/2012","236173"
"Ireland","1/8/2012","203492"
"China","1/8/2012","364881"
"Mexico","1/8/2012","1608727"
"Australia","1/8/2012","208253"
"Italy","1/8/2012","326462"
"Ecuador","1/8/2012","83511"
"Denmark","1/8/2012","61903"
"United Arab Emirates","1/8/2012","195282"
"Haiti","1/8/2012","108050"
"El Salvador","1/8/2012","136541"
"Switzerland","1/8/2012","211266"
"Venezuela","1/8/2012","131215"
"Peru","1/8/2012","123999"
"Japan","1/8/2012","1110822"
"Honduras","1/8/2012","80785"
"South Korea","1/8/2012","439814"
"Belgium","1/8/2012","118908"
"Chile","1/8/2012","58599"
"New Zealand","1/8/2012","51234"
"Dominican Republic","1/8/2012","480470"
"Brazil","1/8/2012","363168"
"Aruba","1/8/2012","102610"
"Russia","1/8/2012","87344"
"Spain","1/8/2012","320043"
"Canada","1/8/2012","2273153"
"Taiwan","1/8/2012","175479"
"Cayman Islands","1/8/2012","60033"
"Netherlands","1/8/2012","476193"
"Hong Kong","1/8/2012","227588"
"Colombia","1/8/2012","233565"
"United Kingdom","1/8/2012","1680409"
"Costa Rica","1/8/2012","184301"
"Israel","1/8/2012","136542"
"Turkey","1/8/2012","120819"
"Argentina","1/8/2012","103323"
"Antilles","1/8/2012","83666"
"Jamaica","1/8/2012","315511"
"Bahamas","1/8/2012","280820"
"Panama","1/8/2012","186366"
"Philippines","1/8/2012","62873"
"Iceland","1/8/2012","83954"
"Germany","1/8/2012","1032399"
"Guatemala","1/8/2012","94769"
"France","1/8/2012","666896"
"Trinidad and Tobago","1/8/2012","102729"
"Atlantic Ocean","1/8/2012","78638"
"Trinidad and Tobago","1/7/2012","93708"
"Ecuador","1/7/2012","84952"
"Germany","1/7/2012","1042455"
"Costa Rica","1/7/2012","226602"
"Iceland","1/7/2012","83331"
"Jamaica","1/7/2012","352748"
"Italy","1/7/2012","341362"
"Chile","1/7/2012","62953"
"Cayman Islands","1/7/2012","73569"
"China","1/7/2012","355921"
"Atlantic Ocean","1/7/2012","72028"
"Antilles","1/7/2012","95871"
"El Salvador","1/7/2012","145423"
"Hong Kong","1/7/2012","218705"
"Japan","1/7/2012","1018836"
"Turkey","1/7/2012","123528"
"Netherlands","1/7/2012","467724"
"Spain","1/7/2012","333408"
"Canada","1/7/2012","2137096"
"Haiti","1/7/2012","118252"
"Denmark","1/7/2012","63630"
"Panama","1/7/2012","196752"
"Australia","1/7/2012","221230"
"France","1/7/2012","683400"
"Aruba","1/7/2012","108293"
"United Kingdom","1/7/2012","1645851"
"South Korea","1/7/2012","425897"
"Venezuela","1/7/2012","121017"
"Israel","1/7/2012","132246"
"Peru","1/7/2012","133867"
"Mexico","1/7/2012","1842339"
"Ireland","1/7/2012","202092"
"Guatemala","1/7/2012","113060"
"Argentina","1/7/2012","104555"
"Russia","1/7/2012","87471"
"United Arab Emirates","1/7/2012","216988"
"Belgium","1/7/2012","120345"
"Taiwan","1/7/2012","168776"
"Dominican Republic","1/7/2012","540314"
"Honduras","1/7/2012","97964"
"New Zealand","1/7/2012","57599"
"Brazil","1/7/2012","380410"
"Colombia","1/7/2012","249511"
"Switzerland","1/7/2012","208657"
"Bahamas","1/7/2012","295149"
"Philippines","1/7/2012","76420"
"Turkey","1/6/2012","110597"
"China","1/6/2012","345546"
"Netherlands","1/6/2012","448675"
"New Zealand","1/6/2012","52075"
"Dominican Republic","1/6/2012","452404"
"Colombia","1/6/2012","227163"
"El Salvador","1/6/2012","127213"
"Argentina","1/6/2012","95774"
"Spain","1/6/2012","308488"
"South Korea","1/6/2012","405169"
"Antilles","1/6/2012","83683"
"Brazil","1/6/2012","340473"
"Germany","1/6/2012","995886"
"Philippines","1/6/2012","74514"
"Mexico","1/6/2012","1556540"
"Cayman Islands","1/6/2012","65398"
"Jamaica","1/6/2012","291633"
"Israel","1/6/2012","135328"
"Ecuador","1/6/2012","74984"
"Denmark","1/6/2012","61557"
"Switzerland","1/6/2012","196060"
"Russia","1/6/2012","84890"
"Ireland","1/6/2012","192148"
"Venezuela","1/6/2012","92686"
"United Kingdom","1/6/2012","1647833"
"Taiwan","1/6/2012","162342"
"Belgium","1/6/2012","117076"
"Australia","1/6/2012","214291"
"Iceland","1/6/2012","78367"
"United Arab Emirates","1/6/2012","212708"
"Atlantic Ocean","1/6/2012","63082"
"Chile","1/6/2012","56353"
"Trinidad and Tobago","1/6/2012","67256"
"Guatemala","1/6/2012","98664"
"Aruba","1/6/2012","92795"
"Italy","1/6/2012","312987"
"Panama","1/6/2012","170279"
"France","1/6/2012","652964"
"Canada","1/6/2012","1921635"
"Peru","1/6/2012","124282"
"Hong Kong","1/6/2012","221515"
"Haiti","1/6/2012","91100"
"Bahamas","1/6/2012","262119"
"Costa Rica","1/6/2012","196796"
"Honduras","1/6/2012","83902"
"Japan","1/6/2012","985130"
"Australia","1/5/2012","202124"
"China","1/5/2012","334946"
"Trinidad and Tobago","1/5/2012","63177"
"New Zealand","1/5/2012","46521"
"Netherlands","1/5/2012","404662"
"Iceland","1/5/2012","45817"
"Aruba","1/5/2012","91586"
"Canada","1/5/2012","1904339"
"Denmark","1/5/2012","50328"
"Israel","1/5/2012","120241"
"Argentina","1/5/2012","106559"
"Belgium","1/5/2012","101606"
"Philippines","1/5/2012","78496"
"Spain","1/5/2012","271896"
"United Arab Emirates","1/5/2012","203798"
"Panama","1/5/2012","151452"
"Haiti","1/5/2012","78406"
"United Kingdom","1/5/2012","1518373"
"Jamaica","1/5/2012","260906"
"Germany","1/5/2012","925614"
"Japan","1/5/2012","901441"
"Hong Kong","1/5/2012","228040"
"Taiwan","1/5/2012","149498"
"France","1/5/2012","557842"
"Turkey","1/5/2012","90404"
"Venezuela","1/5/2012","89422"
"Bahamas","1/5/2012","222953"
"Cayman Islands","1/5/2012","56883"
"Peru","1/5/2012","126135"
"Colombia","1/5/2012","191895"
"Mexico","1/5/2012","1439773"
"Switzerland","1/5/2012","180400"
"Costa Rica","1/5/2012","158370"
"El Salvador","1/5/2012","108446"
"Brazil","1/5/2012","346834"
"Atlantic Ocean","1/5/2012","56417"
"Honduras","1/5/2012","55166"
"South Korea","1/5/2012","387331"
"Guatemala","1/5/2012","75433"
"Ireland","1/5/2012","169673"
"Antilles","1/5/2012","82988"
"Ecuador","1/5/2012","74424"
"Italy","1/5/2012","255458"
"Dominican Republic","1/5/2012","379945"
"Chile","1/5/2012","59075"
"Russia","1/5/2012","60220"
"Bahamas","1/4/2012","253787"
"France","1/4/2012","521586"
"Turkey","1/4/2012","80812"
"Honduras","1/4/2012","59409"
"United Arab Emirates","1/4/2012","179744"
"Italy","1/4/2012","188946"
"Brazil","1/4/2012","340005"
"United Kingdom","1/4/2012","1398511"
"Costa Rica","1/4/2012","199338"
"Iceland","1/4/2012","35774"
"Dominican Republic","1/4/2012","415865"
"Hong Kong","1/4/2012","208776"
"Jamaica","1/4/2012","274515"
"Colombia","1/4/2012","179962"
"Panama","1/4/2012","154582"
"Mexico","1/4/2012","1599445"
"Taiwan","1/4/2012","129814"
"Peru","1/4/2012","117197"
"Denmark","1/4/2012","44115"
"Germany","1/4/2012","790941"
"Philippines","1/4/2012","76587"
"South Korea","1/4/2012","343841"
"Belgium","1/4/2012","98385"
"Ecuador","1/4/2012","74321"
"Venezuela","1/4/2012","98200"
"Cayman Islands","1/4/2012","70399"
"Chile","1/4/2012","57764"
"China","1/4/2012","307900"
"Haiti","1/4/2012","82625"
"New Zealand","1/4/2012","54117"
"Canada","1/4/2012","2048689"
"Aruba","1/4/2012","108507"
"El Salvador","1/4/2012","110713"
"Switzerland","1/4/2012","160700"
"Ireland","1/4/2012","138734"
"Netherlands","1/4/2012","359608"
"Antilles","1/4/2012","98516"
"Spain","1/4/2012","249890"
"Guatemala","1/4/2012","85314"
"Israel","1/4/2012","112873"
"Australia","1/4/2012","197541"
"Trinidad and Tobago","1/4/2012","70717"
"Atlantic Ocean","1/4/2012","47716"
"Japan","1/4/2012","797197"
"Russia","1/4/2012","54492"
"Argentina","1/4/2012","103827"
"Chile","1/3/2012","67695"
"Russia","1/3/2012","55234"
"China","1/3/2012","290059"
"Aruba","1/3/2012","114929"
"Panama","1/3/2012","169069"
"Ecuador","1/3/2012","82766"
"Venezuela","1/3/2012","87877"
"United Kingdom","1/3/2012","1296099"
"Germany","1/3/2012","733437"
"Dominican Republic","1/3/2012","452282"
"Italy","1/3/2012","132381"
"Iceland","1/3/2012","31982"
"Antilles","1/3/2012","113278"
"Bahamas","1/3/2012","258613"
"Spain","1/3/2012","203777"
"New Zealand","1/3/2012","57792"
"Brazil","1/3/2012","352151"
"Turkey","1/3/2012","69375"
"Cayman Islands","1/3/2012","76105"
"Switzerland","1/3/2012","151911"
"South Korea","1/3/2012","319824"
"Guatemala","1/3/2012","91628"
"Argentina","1/3/2012","113525"
"Costa Rica","1/3/2012","259082"
"Colombia","1/3/2012","185321"
"Canada","1/3/2012","2236084"
"El Salvador","1/3/2012","122674"
"Mexico","1/3/2012","1845377"
"Peru","1/3/2012","124262"
"Netherlands","1/3/2012","329014"
"Philippines","1/3/2012","70835"
"Hong Kong","1/3/2012","204786"
"Trinidad and Tobago","1/3/2012","60572"
"Haiti","1/3/2012","90847"
"Honduras","1/3/2012","70984"
"France","1/3/2012","469151"
"Ireland","1/3/2012","123074"
"Jamaica","1/3/2012","270969"
"United Arab Emirates","1/3/2012","195954"
"Israel","1/3/2012","118115"
"Denmark","1/3/2012","40294"
"Taiwan","1/3/2012","139807"
"Australia","1/3/2012","195670"
"Atlantic Ocean","1/3/2012","35775"
"Belgium","1/3/2012","90705"
"Japan","1/3/2012","967367"
"Germany","1/2/2012","516779"
"Netherlands","1/2/2012","254371"
"Peru","1/2/2012","109259"
"Jamaica","1/2/2012","217468"
"El Salvador","1/2/2012","102451"
"Canada","1/2/2012","1910715"
"Colombia","1/2/2012","157143"
"Brazil","1/2/2012","334105"
"United Arab Emirates","1/2/2012","162774"
"Antilles","1/2/2012","100115"
"Australia","1/2/2012","172580"
"Belgium","1/2/2012","69675"
"Trinidad and Tobago","1/2/2012","67894"
"New Zealand","1/2/2012","57185"
"Israel","1/2/2012","98727"
"Costa Rica","1/2/2012","222908"
"Bahamas","1/2/2012","183500"
"Denmark","1/2/2012","28397"
"Iceland","1/2/2012","23496"
"Aruba","1/2/2012","98920"
"Honduras","1/2/2012","53894"
"United Kingdom","1/2/2012","940983"
"Guatemala","1/2/2012","70490"
"Japan","1/2/2012","839415"
"Turkey","1/2/2012","51602"
"Ireland","1/2/2012","83302"
"Russia","1/2/2012","41727"
"Chile","1/2/2012","69849"
"Cayman Islands","1/2/2012","61419"
"Atlantic Ocean","1/2/2012","27904"
"Dominican Republic","1/2/2012","366036"
"Venezuela","1/2/2012","75450"
"Haiti","1/2/2012","73527"
"Hong Kong","1/2/2012","164697"
"France","1/2/2012","322341"
"South Korea","1/2/2012","317075"
"Taiwan","1/2/2012","122396"
"Switzerland","1/2/2012","115181"
"Ecuador","1/2/2012","73665"
"China","1/2/2012","241819"
"Panama","1/2/2012","162855"
"Spain","1/2/2012","124863"
"Italy","1/2/2012","91675"
"Argentina","1/2/2012","107128"
"Mexico","1/2/2012","1493711"
"Philippines","1/2/2012","64043"
"Guatemala","1/1/2012","91477"
"Netherlands","1/1/2012","292443"
"Aruba","1/1/2012","101101"
"Dominican Republic","1/1/2012","393206"
"Atlantic Ocean","1/1/2012","27475"
"Mexico","1/1/2012","1665856"
"Colombia","1/1/2012","206436"
"Argentina","1/1/2012","110952"
"Trinidad and Tobago","1/1/2012","70845"
"Brazil","1/1/2012","410842"
"El Salvador","1/1/2012","129757"
"Spain","1/1/2012","147349"
"Japan","1/1/2012","914583"
"Russia","1/1/2012","55101"
"Israel","1/1/2012","116078"
"Ireland","1/1/2012","88107"
"United Kingdom","1/1/2012","1092853"
"Costa Rica","1/1/2012","249377"
"Peru","1/1/2012","116319"
"Haiti","1/1/2012","82539"
"Ecuador","1/1/2012","84475"
"New Zealand","1/1/2012","67082"
"Antilles","1/1/2012","100250"
"Cayman Islands","1/1/2012","59597"
"Switzerland","1/1/2012","127928"
"Philippines","1/1/2012","77581"
"France","1/1/2012","400533"
"China","1/1/2012","297040"
"Iceland","1/1/2012","25223"
"Australia","1/1/2012","214928"
"Bahamas","1/1/2012","171986"
"Jamaica","1/1/2012","233830"
"Hong Kong","1/1/2012","195624"
"Honduras","1/1/2012","68958"
"Venezuela","1/1/2012","108847"
"United Arab Emirates","1/1/2012","190818"
"Italy","1/1/2012","115633"
"Chile","1/1/2012","79485"
"Germany","1/1/2012","628035"
"South Korea","1/1/2012","386652"
"Denmark","1/1/2012","32933"
"Belgium","1/1/2012","79128"
"Panama","1/1/2012","175846"
"Taiwan","1/1/2012","173733"
"Turkey","1/1/2012","67317"
"Canada","1/1/2012","1879261"
"El Salvador","1/12/2011","129411"
"Antilles","1/12/2011","97599"
"Japan","1/12/2011","846609"
"New Zealand","1/12/2011","71919"
"Denmark","1/12/2011","34861"
"Mexico","1/12/2011","1774143"
"Costa Rica","1/12/2011","219298"
"South Korea","1/12/2011","359478"
"Belgium","1/12/2011","87097"
"Canada","1/12/2011","1853255"
"United Arab Emirates","1/12/2011","190649"
"Bahamas","1/12/2011","207104"
"Haiti","1/12/2011","83867"
"Israel","1/12/2011","105613"
"Spain","1/12/2011","187173"
"China","1/12/2011","285222"
"Chile","1/12/2011","67768"
"Cayman Islands","1/12/2011","63973"
"Panama","1/12/2011","164356"
"Guatemala","1/12/2011","100910"
"Atlantic Ocean","1/12/2011","37075"
"Netherlands","1/12/2011","316301"
"Honduras","1/12/2011","70208"
"Russia","1/12/2011","54880"
"Brazil","1/12/2011","364270"
"Philippines","1/12/2011","68770"
"Hong Kong","1/12/2011","201309"
"Ecuador","1/12/2011","86048"
"United Kingdom","1/12/2011","1254808"
"Trinidad and Tobago","1/12/2011","81793"
"Australia","1/12/2011","204134"
"France","1/12/2011","446739"
"Peru","1/12/2011","113621"
"Italy","1/12/2011","133219"
"Taiwan","1/12/2011","149497"
"Switzerland","1/12/2011","148904"
"Turkey","1/12/2011","69081"
"Germany","1/12/2011","694010"
"Jamaica","1/12/2011","252547"
"Argentina","1/12/2011","103311"
"Aruba","1/12/2011","98369"
"Colombia","1/12/2011","218662"
"Ireland","1/12/2011","110678"
"Iceland","1/12/2011","30684"
"Venezuela","1/12/2011","129801"
"Dominican Republic","1/12/2011","375409"
"Haiti","1/11/2011","67395"
"Australia","1/11/2011","182450"
"Colombia","1/11/2011","173386"
"Israel","1/11/2011","109564"
"Trinidad and Tobago","1/11/2011","65152"
"Aruba","1/11/2011","88830"
"Bahamas","1/11/2011","180638"
"China","1/11/2011","260257"
"New Zealand","1/11/2011","49362"
"Spain","1/11/2011","178523"
"United Arab Emirates","1/11/2011","160227"
"Jamaica","1/11/2011","213839"
"Ireland","1/11/2011","123505"
"Panama","1/11/2011","136081"
"Honduras","1/11/2011","50256"
"Costa Rica","1/11/2011","157940"
"Cayman Islands","1/11/2011","52927"
"Canada","1/11/2011","1735281"
"Russia","1/11/2011","51113"
"Switzerland","1/11/2011","133968"
"France","1/11/2011","417395"
"Ecuador","1/11/2011","84617"
"Japan","1/11/2011","805581"
"Antilles","1/11/2011","81835"
"Denmark","1/11/2011","35443"
"Italy","1/11/2011","152425"
"Iceland","1/11/2011","34883"
"Hong Kong","1/11/2011","193107"
"Belgium","1/11/2011","78948"
"Germany","1/11/2011","664038"
"Guatemala","1/11/2011","90485"
"Argentina","1/11/2011","101851"
"Taiwan","1/11/2011","131903"
"Mexico","1/11/2011","1414403"
"Philippines","1/11/2011","63682"
"United Kingdom","1/11/2011","1179944"
"Atlantic Ocean","1/11/2011","41844"
"Peru","1/11/2011","102902"
"South Korea","1/11/2011","328937"
"Netherlands","1/11/2011","304868"
"El Salvador","1/11/2011","112648"
"Brazil","1/11/2011","329616"
"Venezuela","1/11/2011","112354"
"Turkey","1/11/2011","64326"
"Dominican Republic","1/11/2011","306493"
"Chile","1/11/2011","54954"
"Turkey","1/10/2011","79563"
"Antilles","1/10/2011","63453"
"Colombia","1/10/2011","173409"
"Switzerland","1/10/2011","172358"
"South Korea","1/10/2011","347399"
"United Arab Emirates","1/10/2011","144192"
"Canada","1/10/2011","1837263"
"Denmark","1/10/2011","47176"
"Panama","1/10/2011","130110"
"Jamaica","1/10/2011","184874"
"Netherlands","1/10/2011","413949"
"Venezuela","1/10/2011","105437"
"Chile","1/10/2011","54863"
"El Salvador","1/10/2011","98443"
"Bahamas","1/10/2011","147613"
"Australia","1/10/2011","196058"
"Ecuador","1/10/2011","80579"
"Ireland","1/10/2011","147880"
"China","1/10/2011","310239"
"Trinidad and Tobago","1/10/2011","62751"
"Italy","1/10/2011","255219"
"New Zealand","1/10/2011","56001"
"Belgium","1/10/2011","100598"
"Philippines","1/10/2011","58484"
"Japan","1/10/2011","857352"
"Argentina","1/10/2011","107877"
"Dominican Republic","1/10/2011","289031"
"Taiwan","1/10/2011","131744"
"United Kingdom","1/10/2011","1479795"
"Atlantic Ocean","1/10/2011","49029"
"Spain","1/10/2011","264894"
"France","1/10/2011","566672"
"Iceland","1/10/2011","42288"
"Haiti","1/10/2011","68248"
"Brazil","1/10/2011","352092"
"Guatemala","1/10/2011","69580"
"Costa Rica","1/10/2011","113765"
"Hong Kong","1/10/2011","202000"
"Russia","1/10/2011","57493"
"Honduras","1/10/2011","46688"
"Israel","1/10/2011","117328"
"Peru","1/10/2011","111109"
"Mexico","1/10/2011","1265195"
"Germany","1/10/2011","867256"
"Cayman Islands","1/10/2011","38152"
"Aruba","1/10/2011","86380"
"Israel","1/9/2011","108561"
"Guatemala","1/9/2011","62334"
"Antilles","1/9/2011","49447"
"United Kingdom","1/9/2011","1527302"
"Costa Rica","1/9/2011","107766"
"United Arab Emirates","1/9/2011","146621"
"South Korea","1/9/2011","326141"
"Dominican Republic","1/9/2011","298366"
"Cayman Islands","1/9/2011","28805"
"Ecuador","1/9/2011","83615"
"Peru","1/9/2011","109256"
"Hong Kong","1/9/2011","186278"
"Philippines","1/9/2011","52242"
"Bahamas","1/9/2011","122882"
"Denmark","1/9/2011","50459"
"Aruba","1/9/2011","73283"
"Argentina","1/9/2011","108424"
"Taiwan","1/9/2011","129042"
"Canada","1/9/2011","1782637"
"China","1/9/2011","310151"
"Haiti","1/9/2011","70680"
"Jamaica","1/9/2011","175763"
"Colombia","1/9/2011","171320"
"Brazil","1/9/2011","336631"
"Venezuela","1/9/2011","115534"
"Germany","1/9/2011","907190"
"Australia","1/9/2011","208525"
"Chile","1/9/2011","53377"
"Netherlands","1/9/2011","430948"
"Japan","1/9/2011","901406"
"Spain","1/9/2011","282273"
"Panama","1/9/2011","128696"
"Iceland","1/9/2011","46509"
"Ireland","1/9/2011","182432"
"France","1/9/2011","616882"
"Belgium","1/9/2011","107964"
"Atlantic Ocean","1/9/2011","46971"
"Russia","1/9/2011","60766"
"New Zealand","1/9/2011","67548"
"Turkey","1/9/2011","78115"
"Switzerland","1/9/2011","175565"
"Italy","1/9/2011","283767"
"Mexico","1/9/2011","1100312"
"Trinidad and Tobago","1/9/2011","69687"
"El Salvador","1/9/2011","99041"
"Honduras","1/9/2011","51012"
"Colombia","1/8/2011","211681"
"Netherlands","1/8/2011","463786"
"France","1/8/2011","665474"
"Brazil","1/8/2011","330286"
"Costa Rica","1/8/2011","171510"
"Australia","1/8/2011","190206"
"South Korea","1/8/2011","420438"
"Cayman Islands","1/8/2011","58857"
"Jamaica","1/8/2011","291569"
"Mexico","1/8/2011","1549463"
"Chile","1/8/2011","50308"
"Philippines","1/8/2011","64258"
"Bahamas","1/8/2011","218616"
"Antilles","1/8/2011","69728"
"Spain","1/8/2011","340296"
"Ecuador","1/8/2011","104329"
"Switzerland","1/8/2011","190202"
"Venezuela","1/8/2011","116470"
"Honduras","1/8/2011","76381"
"Ireland","1/8/2011","199076"
"Dominican Republic","1/8/2011","442391"
"Japan","1/8/2011","1019826"
"Guatemala","1/8/2011","96597"
"Germany","1/8/2011","978724"
"Italy","1/8/2011","319974"
"Canada","1/8/2011","2116607"
"United Arab Emirates","1/8/2011","176227"
"China","1/8/2011","335300"
"Belgium","1/8/2011","107391"
"Turkey","1/8/2011","75018"
"New Zealand","1/8/2011","50327"
"El Salvador","1/8/2011","147361"
"Atlantic Ocean","1/8/2011","74858"
"Haiti","1/8/2011","95446"
"United Kingdom","1/8/2011","1655568"
"Argentina","1/8/2011","90640"
"Russia","1/8/2011","77546"
"Iceland","1/8/2011","72296"
"Israel","1/8/2011","140793"
"Peru","1/8/2011","122626"
"Hong Kong","1/8/2011","198666"
"Taiwan","1/8/2011","167162"
"Trinidad and Tobago","1/8/2011","100474"
"Panama","1/8/2011","148561"
"Aruba","1/8/2011","99532"
"Denmark","1/8/2011","67658"
"Trinidad and Tobago","1/7/2011","100242"
"Italy","1/7/2011","336596"
"El Salvador","1/7/2011","161788"
"Costa Rica","1/7/2011","218652"
"Taiwan","1/7/2011","162741"
"Antilles","1/7/2011","98893"
"Germany","1/7/2011","1013278"
"Belgium","1/7/2011","113569"
"Mexico","1/7/2011","1813769"
"Netherlands","1/7/2011","470695"
"Philippines","1/7/2011","73406"
"Switzerland","1/7/2011","197867"
"Colombia","1/7/2011","228195"
"Aruba","1/7/2011","112900"
"Denmark","1/7/2011","73906"
"Chile","1/7/2011","60831"
"Argentina","1/7/2011","99471"
"Ecuador","1/7/2011","106785"
"China","1/7/2011","326273"
"Russia","1/7/2011","79397"
"United Arab Emirates","1/7/2011","184161"
"Bahamas","1/7/2011","278938"
"Canada","1/7/2011","2095438"
"South Korea","1/7/2011","400749"
"Japan","1/7/2011","925062"
"United Kingdom","1/7/2011","1684995"
"Guatemala","1/7/2011","112520"
"Panama","1/7/2011","167570"
"Turkey","1/7/2011","81920"
"New Zealand","1/7/2011","66203"
"Hong Kong","1/7/2011","202768"
"Ireland","1/7/2011","206758"
"Peru","1/7/2011","131404"
"Haiti","1/7/2011","112004"
"Israel","1/7/2011","139060"
"Australia","1/7/2011","213837"
"France","1/7/2011","687333"
"Cayman Islands","1/7/2011","68091"
"Jamaica","1/7/2011","332008"
"Honduras","1/7/2011","92444"
"Spain","1/7/2011","356523"
"Dominican Republic","1/7/2011","518007"
"Iceland","1/7/2011","75108"
"Venezuela","1/7/2011","98980"
"Brazil","1/7/2011","362236"
"Atlantic Ocean","1/7/2011","76498"
"Israel","1/6/2011","141294"
"Brazil","1/6/2011","312548"
"United Kingdom","1/6/2011","1613669"
"Bahamas","1/6/2011","229280"
"Ireland","1/6/2011","192250"
"Mexico","1/6/2011","1492001"
"Costa Rica","1/6/2011","179887"
"China","1/6/2011","310204"
"Ecuador","1/6/2011","85456"
"France","1/6/2011","636199"
"Cayman Islands","1/6/2011","59624"
"Netherlands","1/6/2011","447535"
"Germany","1/6/2011","939835"
"Hong Kong","1/6/2011","197729"
"Denmark","1/6/2011","68173"
"Honduras","1/6/2011","76838"
"Chile","1/6/2011","51700"
"Panama","1/6/2011","139177"
"Switzerland","1/6/2011","183766"
"Peru","1/6/2011","115439"
"Guatemala","1/6/2011","97424"
"Venezuela","1/6/2011","85108"
"Iceland","1/6/2011","65208"
"Turkey","1/6/2011","77557"
"Colombia","1/6/2011","203381"
"Antilles","1/6/2011","76362"
"Atlantic Ocean","1/6/2011","65090"
"Haiti","1/6/2011","87189"
"Taiwan","1/6/2011","161558"
"New Zealand","1/6/2011","56481"
"South Korea","1/6/2011","367448"
"Italy","1/6/2011","313403"
"Dominican Republic","1/6/2011","414690"
"Spain","1/6/2011","322184"
"Belgium","1/6/2011","108223"
"Philippines","1/6/2011","72885"
"Argentina","1/6/2011","83139"
"Aruba","1/6/2011","89967"
"Russia","1/6/2011","78410"
"Jamaica","1/6/2011","257107"
"El Salvador","1/6/2011","127125"
"Trinidad and Tobago","1/6/2011","70546"
"Australia","1/6/2011","208486"
"Canada","1/6/2011","1851492"
"United Arab Emirates","1/6/2011","170279"
"Japan","1/6/2011","833802"
"Israel","1/5/2011","127035"
"Denmark","1/5/2011","57826"
"Haiti","1/5/2011","82018"
"Bahamas","1/5/2011","201708"
"Atlantic Ocean","1/5/2011","61529"
"Guatemala","1/5/2011","77225"
"Dominican Republic","1/5/2011","361540"
"Ecuador","1/5/2011","80991"
"Panama","1/5/2011","127127"
"New Zealand","1/5/2011","50145"
"Japan","1/5/2011","747226"
"Belgium","1/5/2011","104754"
"Iceland","1/5/2011","34774"
"Argentina","1/5/2011","99585"
"Costa Rica","1/5/2011","153550"
"Australia","1/5/2011","196896"
"Germany","1/5/2011","895351"
"Antilles","1/5/2011","80173"
"Colombia","1/5/2011","162945"
"United Arab Emirates","1/5/2011","163822"
"China","1/5/2011","298164"
"Taiwan","1/5/2011","151995"
"France","1/5/2011","574741"
"Italy","1/5/2011","264144"
"Jamaica","1/5/2011","240124"
"Venezuela","1/5/2011","82906"
"Hong Kong","1/5/2011","202034"
"Turkey","1/5/2011","72507"
"Peru","1/5/2011","116213"
"Philippines","1/5/2011","80476"
"Brazil","1/5/2011","319898"
"Canada","1/5/2011","1895627"
"Mexico","1/5/2011","1439076"
"Spain","1/5/2011","289137"
"Netherlands","1/5/2011","406313"
"Ireland","1/5/2011","166551"
"Russia","1/5/2011","68229"
"Trinidad and Tobago","1/5/2011","69756"
"Honduras","1/5/2011","56049"
"South Korea","1/5/2011","355983"
"Aruba","1/5/2011","94446"
"El Salvador","1/5/2011","106860"
"United Kingdom","1/5/2011","1523223"
"Switzerland","1/5/2011","174825"
"Chile","1/5/2011","51763"
"Cayman Islands","1/5/2011","55782"
"Philippines","1/4/2011","76527"
"France","1/4/2011","518881"
"Australia","1/4/2011","195495"
"Ireland","1/4/2011","143803"
"Aruba","1/4/2011","110660"
"Canada","1/4/2011","1992845"
"Iceland","1/4/2011","28626"
"Jamaica","1/4/2011","246629"
"Japan","1/4/2011","602279"
"Turkey","1/4/2011","58017"
"United Arab Emirates","1/4/2011","144042"
"Panama","1/4/2011","129748"
"Honduras","1/4/2011","60487"
"Italy","1/4/2011","212356"
"Hong Kong","1/4/2011","189101"
"United Kingdom","1/4/2011","1450479"
"Germany","1/4/2011","786616"
"Colombia","1/4/2011","167990"
"South Korea","1/4/2011","315719"
"Peru","1/4/2011","105050"
"Cayman Islands","1/4/2011","68740"
"Haiti","1/4/2011","78102"
"Netherlands","1/4/2011","374418"
"China","1/4/2011","255222"
"Antilles","1/4/2011","94592"
"Trinidad and Tobago","1/4/2011","70361"
"Ecuador","1/4/2011","82335"
"Israel","1/4/2011","118236"
"Taiwan","1/4/2011","136951"
"Venezuela","1/4/2011","85025"
"Denmark","1/4/2011","51674"
"Brazil","1/4/2011","310510"
"Costa Rica","1/4/2011","190736"
"Chile","1/4/2011","50820"
"Guatemala","1/4/2011","88097"
"New Zealand","1/4/2011","52375"
"Belgium","1/4/2011","98606"
"Atlantic Ocean","1/4/2011","50075"
"Dominican Republic","1/4/2011","376205"
"Spain","1/4/2011","257887"
"Switzerland","1/4/2011","162516"
"Argentina","1/4/2011","100630"
"El Salvador","1/4/2011","115556"
"Bahamas","1/4/2011","232728"
"Mexico","1/4/2011","1602282"
